EVTNAME99099017;Carlisle Reivers;;;;;;;;;;;;;
EVTDESC99099017;The border country around Carlisle has changed hands more times than anyone can count, and old families there still answer to Edinburgh more readily than London. Scottish agents report the town would welcome a change of flag.;;;;;;;;;;;;;
EVTNAME99099018;The Dumfries Question;;;;;;;;;;;;;
EVTDESC99099018;Dumfries sits closer to England than to the Scottish heartland, and its merchants trade south more than north. Crown lawyers argue the old border was never drawn fairly.;;;;;;;;;;;;;
EVTNAME99099019;The Chester Marches;;;;;;;;;;;;;
EVTDESC99099019;For centuries Chester was a fortress city built to hold the Welsh at bay. Its Welsh-speaking hinterland has not forgotten which side of the wall it once stood on.;;;;;;;;;;;;;
EVTNAME99099020;Holyhead's Anchorage;;;;;;;;;;;;;
EVTDESC99099020;Every English army that ever crossed to Ireland embarked from Holyhead. The Crown has never quite accepted that the port now flies a Welsh flag.;;;;;;;;;;;;;
EVTNAME99099021;The Exeter Boundary;;;;;;;;;;;;;
EVTDESC99099021;Exeter marks the old edge of Dumnonia, the Cornish kingdom that once stretched much further east than the peninsula it holds today. Cornish patriots have not forgotten it.;;;;;;;;;;;;;
EVTNAME99099022;The Scilly Anchorage;;;;;;;;;;;;;
EVTDESC99099022;The Isles of Scilly have long been administered as an English concern, garrisoned from Plymouth's own naval yards. London sees no reason that should change simply because Cornwall now flies its own colours.;;;;;;;;;;;;;
EVTNAME99099023;The Ulster Plantation;;;;;;;;;;;;;
EVTDESC99099023;Generations of Scottish settlers were planted around Belfast, and the town's kirks, accents, and loyalties still lean north across the sea more than they lean toward Dublin.;;;;;;;;;;;;;
EVTNAME99099024;Echoes of Dalriada;;;;;;;;;;;;;
EVTDESC99099024;Long before there was a Scotland, the Gaelic kingdom of Dalriada spanned the sea from Antrim to the Hebrides as a single people. Irish scholars point out the isles were settled from Ireland first.;;;;;;;;;;;;;
