enl_bank_of_england_reform;Reform the Bank of England's Charter;;;;;;;;;;;;;
enl_bank_of_england_reform_desc;A century after its founding, the Bank of England has become the Crown's indispensable creditor. Parliament debates widening its charter to further stabilize public credit and the City's growing financial markets.;;;;;;;;;;;;;
mca_canal_mania_investment;Invest in Canal Mania;;;;;;;;;;;;;
mca_canal_mania_investment_desc;Speculators and industrialists across the Midlands and the North are racing to fund new canal schemes, linking coalfields, ironworks, and mill towns to market faster than any turnpike road ever could.;;;;;;;;;;;;;
sco_enlightenment_patronage;Patronise the Scottish Enlightenment;;;;;;;;;;;;;
sco_enlightenment_patronage_desc;Edinburgh's philosophers, physicians, and economists have made the city a byword for learning across Europe. The Crown weighs whether to formally patronise its universities and societies.;;;;;;;;;;;;;
ire_penal_laws_relief;Relieve the Penal Laws;;;;;;;;;;;;;
ire_penal_laws_relief_desc;The old Penal Laws against the Catholic majority sit uneasily with an independent Irish Crown. Reformers argue that relief would settle the kingdom and open loyal service to men long excluded from it.;;;;;;;;;;;;;
wha_methodist_revival;Embrace the Methodist Revival;;;;;;;;;;;;;
wha_methodist_revival_desc;Itinerant Methodist preachers have swept through Wales, filling new chapels and driving a surge in Welsh-language literacy and hymnody. The old established church looks on with unease.;;;;;;;;;;;;;
crn_language_revival;Champion the Cornish Revival;;;;;;;;;;;;;
crn_language_revival_desc;Cornish as a living tongue nearly died with the last of its old speakers a generation ago. Antiquarians and clergy now press to record and revive it before the memory is lost entirely.;;;;;;;;;;;;;
EVTNAME99099025;The East India Company's Petition;;;;;;;;;;;;;
EVTDESC99099025;With no unified Britain behind them and India's own great powers still dominant across the subcontinent, Company directors ask only for backing to hold their few coastal trading posts a little more securely.;;;;;;;;;;;;;
EVTNAME99099026;The Hand-Weavers' Plight;;;;;;;;;;;;;
EVTDESC99099026;Spinning mills are undercutting the old hand-loom weavers of the North. Mill owners want a free hand to expand; the weavers' guilds want protection.;;;;;;;;;;;;;
EVTNAME99099027;The Ossian Controversy;;;;;;;;;;;;;
EVTDESC99099027;James Macpherson's supposed translations of an ancient Gaelic bard have swept fashionable Europe, even as scholars increasingly suspect the poems are his own invention.;;;;;;;;;;;;;
EVTNAME99099028;Societies for Reform;;;;;;;;;;;;;
EVTDESC99099028;New societies calling for parliamentary reform and an end to sectarian disqualification are gathering members across the kingdom, uniting Protestant and Catholic reformers under one banner.;;;;;;;;;;;;;
EVTNAME99099029;Iolo Morganwg's Gorsedd;;;;;;;;;;;;;
EVTDESC99099029;A Glamorgan stonemason calling himself Iolo Morganwg has unveiled a "Gorsedd of Bards" on Primrose Hill, claiming to revive an unbroken druidic tradition that scholars suspect he has largely invented.;;;;;;;;;;;;;
EVTNAME99099030;The Cornish Engine;;;;;;;;;;;;;
EVTDESC99099030;Mine adventurers across the county are weighing whether to invest in the latest high-pressure pumping engines to drain ever-deeper tin and copper workings.;;;;;;;;;;;;;
