form_england_south;Form England (South);;;;;;;;;;;;;
form_england_south_desc;Unite the industrial north under London's rule and restore a single Kingdom of England, reunified from the south.;;;;;;;;;;;;;
form_england_north;Form England (North);;;;;;;;;;;;;
form_england_north_desc;Unite London and the south under Mercia's rule and restore a single Kingdom of England, reunified from the industrial north.;;;;;;;;;;;;;
form_united_kingdom;Form the United Kingdom;;;;;;;;;;;;;
form_united_kingdom_desc;Bring Scotland, Ireland, and Wales together with England under a single Crown once more, reforming the United Kingdom of Great Britain and Ireland.;;;;;;;;;;;;;
form_caledonia;Form Caledonia;;;;;;;;;;;;;
form_caledonia_desc;Unite the rest of the British Isles under Edinburgh's rule, founding a new empire of Caledonia in place of the old union.;;;;;;;;;;;;;
restore_united_kingdom_scottish_led;Restore the United Kingdom;;;;;;;;;;;;;
restore_united_kingdom_scottish_led_desc;Rather than rule the isles as Caledonia, set aside the crown's own name and restore the old union as it was -- a gesture of reconciliation that will settle easier on English, Welsh, and Irish hearts alike, at the cost of Scotland's own moment of glory.;;;;;;;;;;;;;
form_hibernia;Form Hibernia;;;;;;;;;;;;;
form_hibernia_desc;Unite the rest of the British Isles under Dublin's rule, founding a new empire of Hibernia in place of the old union.;;;;;;;;;;;;;
restore_united_kingdom_irish_led;Restore the United Kingdom;;;;;;;;;;;;;
restore_united_kingdom_irish_led_desc;Rather than rule the isles as Hibernia, set aside the crown's own name and restore the old union as it was -- a gesture of reconciliation that will settle easier on English, Scottish, and Welsh hearts alike, at the cost of Ireland's own moment of glory.;;;;;;;;;;;;;
form_cambria;Form Cambria;;;;;;;;;;;;;
form_cambria_desc;Unite the rest of the British Isles under Cardiff's rule, founding a new empire of Cambria in place of the old union.;;;;;;;;;;;;;
